aktuálny -  súčasný, najnovší, nedávny, čerstvý, 
biedny -  úbohý, nevyhovujúci, úbohy, neuspokojivý, 
čestný -  férový, poctivý, morálny, korektný, 
diskutabilný -  sporný, problematický, neistý, pochybný, 
dokonalý -  perfektný, ideálny, bezchybný, obdivuhodný, 
drahý -  cenný, vzácny, luxusný, drahocenný, 
elegantný -  ladný, uhladený, pôvabný, graciózny, 
falošný -  zdanlivý, neúprimný, klamný, nepravý, 
hlavný -  prvoradý, kľúčový, kardinálny, dominantný, 
horúci -  vriaci, žhavý, žeravý, tropický, 
hotový -  zakončený, zavŕšený, dovŕšený, vyhotovený, 
hrubý -  surový, bezcitný, drsný, neokrôchaný, 
charakteristický -  špecifický, význačný, svojský, osobitý, 
chybný -  vadný, mylný, nedokonalý, nesprávny, 
imaginárny -  fiktívny, neskutočný, pomyselný, vymyslený, 
iný -  rozličný, inakší, rôzny, odlišný, 
jasný -  zreteľný, jednoznačný, žiarivý, zrejmý, 
jedinečný -  unikátny, neobyčajný, exkluzívny, mimoriadny, 
kľúčový -  rozhodujúci, podstatný, ústredný, zásadný, 
kolosálny -  obrovský, gigantický, veľký, monštruózny, 
krásny -  nádherný, neodolateľný, elegantný, ladný, 
liberálny -  slobodný, tolerantný, nezávislý, slobodomyseľný, 
luxusný -  honosný, drahý, prepychový, drahocenný, 
malý -  malinký, nízky, nevysoký, šťúply, 
márny -  zbytočný, nezmyselný, bezvýsledný, neužitočný, 
miestny -  lokálny, tunajší, tamojší, regionálny, 
mimoriadny -  nečakaný, jedinečný, výnimočný, neobvyklý, 
mizerný -  naničhodný, zlý, mizerný, nepodarený, 
mocný -  vplyvný, robustný, silný, významný, 
morálny -  etický, poctivý, mravný, seriózny, 
mužný -  chlapský, statočný, udatný, odvážny, 
mylný -  klamný, chybný, špatný, nesprávny, 
naliehavý -  bezodkladný, neodkladný, akútny, neodbytný, 
nápadný -  evidentný, výrazný, markantný, viditeľný, 
napätý -  napnutý, uprený, sústredený, tenzný, 
nebezpečný -  ohrozujúci, rizikový, hrozivý, zlý, 
nekonečný -  večný, neobmedzený, bezmedzný, bezhraničný, 
nenápadný -  nevýrazný, utajený, nevtieravý, všedný, 
neobmedzený -  nevyčerpateľný, nekonečný, neohraničený, nesputnaný, 
nepremožiteľný -  neporaziteľný, nezdolateľný, neprekonateľný, nezdolný, 
obradný -  ceremoniálny, slávnostný, obradový, sviatočný, 
podobný -  obdobný, porovnateľný, blízky, zhodný, 
povestný -  legendárny, svetoznámy, preslávený, chýrny, 
pravý -  hodnoverný, skutočný, opravdivý, ozajstný, 
príťažlivý -  zvodný, pôvabný, pútavý, vábivý, 
rozprávkový -  kúzelný, zázračný, čarovný, fantastický, 
živý -  čulý, živučičký, roztopašný, rušný, 
