aktuálny -  súčasný, nedávny, najnovší, čerstvý, dnešný, moderný, posledný, súdobý, 
biedny -  úbohý, trvanlivý, nevyhovujúci, úbohy, neuspokojivý, nedostačujúci, psotný, chatrný, mätúci, mizerný, žalostný, nepodarený, psí, psovský, nepostačujúci, žobrácky, 
čestný -  férový, poctivý, morálny, korektný, vzorný, bezúhonný, počestný, slušný, mravný, 
diskutabilný -  sporný, problematický, neistý, pochybný, ústupový, nezaručený, nerozhodný, 
dokonalý -  perfektný, ideálny, bezchybný, obdivuhodný, vynikajúci, stopercentný, výborný, úplný, bezpodmienečný, 
drahý -  cenný, vzácny, luxusný, drahocenný, honosný, prepychový, graciózny, hodnotný, nákladný, 
elegantný -  ladný, uhladený, prichystaný, významný, graciózny, krásny, pôvabný, vyhladený, distingvovaný, slušivý, jemný, 
falošný -  zdanlivý, neúprimný, klamný, dvojaký, špatný, nepravý, nepravdivý, predstieraný, mylný, fingovaný, strojený, obojaký, farizejský, nesprávny, chybný, nedokonalý, 
hlavný -  kľúčový, prvoradý, kardinálny, podstatný, primárny, rozhodujúci, generálny, dominantný, centrálny, ústredný, oporný, fundamentálny, vedúci, titulný, základný, zásadný, elementárny, 
horúci -  vriaci, žhavý, žeravý, tropický, rozpálený, rozohriaty, zohriaty, pálivý, rozhorúčený, aktuálny, 
hotový -  zakončený, zavŕšený, dovŕšený, vyhotovený, ukončený, dorobený, nachystaný, skončený, pripravený, urobený, 
hrubý -  surový, bezcitný, drsný, neokrôchaný, hrubočizný, tučný, masívny, brutálny, nemotorný, prihrubý, hrubizný, neotesaný, neokresaný, neohrabaný, neogabaný, krutý, brutto, neuhladený, 
charakteristický -  špecifický, význačný, svojský, osobitý, typický, výrazný, príznačný, markantný, 
chybný -  vadný, mylný, nedokonalý, nesprávny, defektný, nepravdivý, špatný, nekvalitný, 
imaginárny -  fiktívny, neskutočný, pomyselný, vymyslený, iluzórny, nereálny, zdanlivý, domnelý, predstieraný, 
iný -  rozličný, inakší, rozdielny, rôzny, odlišný, alternatívny, druhý, nerovnaký, odchylný, ďalší, diferencovaný, onaký, 
